IconclassURI,Emojiconclass,IconclassLabel
http://iconclass.org/0,🎨️🤔️,"Abstract, Non-representational Art"
http://iconclass.org/1,🙏✨,Religion and Magic
http://iconclass.org/2,🏞️,Nature
http://iconclass.org/3,👤,"Human Being, Man in General"
http://iconclass.org/4,👥,"Society, Civilization, Culture"
http://iconclass.org/5,🤔,Abstract Ideas and Concepts
http://iconclass.org/6,📜,History
http://iconclass.org/7,📖🙏,Bible
http://iconclass.org/8,📖🤔️,Literature
http://iconclass.org/9,🏛️🦄📜,Classical Mythology and Ancient History
http://iconclass.org/11,✝️,Christian religion
http://iconclass.org/12,,"non-Christian religions (including institutions, customs and antiquities)"
http://iconclass.org/13,🧙,"magic, supernaturalism, occultism"
http://iconclass.org/14,🌌🤔️,astrology
http://iconclass.org/20,,"'Natura' (allegorical figure or scene; or as Diana of Ephesus, with many breasts); 'Natura' (Ripa)"
http://iconclass.org/21,,"the four elements, and ether, the fifth element"
http://iconclass.org/22,🏞️🤷,natural phenomena
http://iconclass.org/23,⏳,time
http://iconclass.org/24,🌌,the heavens (celestial bodies)
http://iconclass.org/25,🌍,"earth, world as celestial body"
http://iconclass.org/26,⛈️🤷,meteorological phenomena
http://iconclass.org/29,🖼️⁉️,"surrealia, surrealistic representations"
http://iconclass.org/31,👤🧬,man in a general biological sense
http://iconclass.org/32,👥🤷,human types; peoples and nationalities
http://iconclass.org/33,,relations between individual persons
http://iconclass.org/34,👤🐾,man and animal
http://iconclass.org/35,🏞️🏛️,"pastorals, Arcadian scenes"
http://iconclass.org/36,,man and environment
http://iconclass.org/41,,material aspects of daily life
http://iconclass.org/42,👪,"family, descendance"
http://iconclass.org/43,🎢,"recreation, amusement"
http://iconclass.org/44,⚖️,state; law; political life
http://iconclass.org/45,⚔️,warfare; military affairs
http://iconclass.org/46,👥📡💰,"social and economic life, transport and communication"
http://iconclass.org/47,✂️🏭,crafts and industries
http://iconclass.org/48,🎨,art
http://iconclass.org/49,👨‍🏫,"education, science and learning"
http://iconclass.org/51,💡,Generalities
http://iconclass.org/52,💡🤔️,Reasoning and Formation of Ideas
http://iconclass.org/53,👍🤔️,"Will, Volition"
http://iconclass.org/54,,Process of Action
http://iconclass.org/55,🏷️,Property
http://iconclass.org/56,❤️🤔️,Emotion
http://iconclass.org/57,💭🤔️,Morality
http://iconclass.org/58,🆕⚙️,Creation
http://iconclass.org/59,,Aspects of Social Conduct
http://iconclass.org/61,📜📅👥,historical events and situations; historical persons
http://iconclass.org/62,🔮,visions of the future
http://iconclass.org/71,✡️📖,Old Testament
http://iconclass.org/72,,typological juxtapositions and compositions
http://iconclass.org/73,✝️📖,New Testament
http://iconclass.org/81,📖♻️,literary cycles
http://iconclass.org/82,📖👥,literary characters and objects
http://iconclass.org/83,📖👈,specific works of literature
http://iconclass.org/84,📖🧚,tales and fairy tales
http://iconclass.org/85,📖🐾👤,fables
http://iconclass.org/86,🦉🗣️,"proverbs, sayings, etc."
http://iconclass.org/91,✨🤷,"myths about creation: cosmogony, theogony, and the origin of man"
http://iconclass.org/92,🔱,gods ~ classical mythology
http://iconclass.org/93,🤝🏘️🔱,meetings and dwellings of the gods
http://iconclass.org/94,🦸‍♂️🔱📜,the Greek heroic legends (I)
http://iconclass.org/95,📖🦸🔱,the Greek heroic legends (II)
http://iconclass.org/96,📖🇮🇹🔱,Roman gods and legends
http://iconclass.org/97,,metamorphoses ~ classical mythology
http://iconclass.org/98,🏛️📜,classical history
http://iconclass.org/11A,✝🔱,"Deity, God (in general) ~ Christian religion"
http://iconclass.org/11B,✝️👴👶👻,"the Holy Trinity, 'Trinitas coelestis'; Father, Son and Holy Ghost ~ Christian religion"
http://iconclass.org/11C,✝️👴,God the Father
http://iconclass.org/11D,✝️👶,Christ
http://iconclass.org/11E,✝️👻,the Holy Ghost
http://iconclass.org/11F,✝️🤰,the Virgin Mary
http://iconclass.org/11G,👼👼,angels
http://iconclass.org/11H,😇😇,saints
http://iconclass.org/11I,,"prophets, sibyls, evangelists, Doctors of the Church; persons ~ the Bible (not in biblical context)"
http://iconclass.org/11K,👿👿,devil(s) and demons
http://iconclass.org/11L,✝💭,Christian doctrine
http://iconclass.org/11M,,"'Sapientia' and the Seven Virtues, i.e. the Three Theological and the Four Cardinal Virtues"
http://iconclass.org/11N,👿💭,"Vice, and the Seven Deadly Sins"
http://iconclass.org/11O,😇😠👿,"strife between Virtues and Vices, Psychomachy"
http://iconclass.org/11P,⛪,the Church (as institution)
http://iconclass.org/11Q,✝🔱🙏,the worship of God
